Level,Code,Class title,Element Type Label,Exclusion Code,Element Description,
2,RDF101,Mathematics and statistics,Exclusion(s),,"application of statistical and mathematical techniques to psychological testing (psychometrics) (See RDF5010116 Psychological methodology design and analysis, and psychometrics)",
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in bioinformatics (See RDF10208 Bioinformatics),
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in biological evolution (See RDF10605 Biological evolution),
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in classical physics (See RDF10304 Classical physics),
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in computer and information sciences (See RDF102 Computer and information sciences),
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in criminology (See RDF50902 Criminology),
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in ecology (See RDF1060311 Ecological mathematical and statistical models),
2,RDF101,Mathematics and statistics,Exclusion(s),,applications of mathematics and statistics in economics (See RDF50201 Economics),
2,RDF101,Mathematics and statistics,Exclusion(s),,"applications of mathematics and statistics in quantum communication (See RDF1030604 Quantum information, computation and communication)",
2,RDF101,Mathematics and statistics,Exclusion(s),,"applications of statistical techniques associated with medical, health and life sciences (See RDF30 Medical, health and life sciences)",
2,RDF101,Mathematics and statistics,Exclusion(s),,computational mathematics (See RDF10202 Theoretical computer science and computational mathematics),
2,RDF101,Mathematics and statistics,Exclusion(s),,geodesy (See RDF1050408 Geodesy),
2,RDF101,Mathematics and statistics,Exclusion(s),,history and philosophy of mathematics and statistics (See RDF6030307 History and philosophy of science (including non-historical philosophy of science)),
2,RDF101,Mathematics and statistics,Exclusion(s),,"mathematics and numeracy curriculum, pedagogy and didactics (See RDF5030208 Mathematics and numeracy curriculum, pedagogy and didactics)",
2,RDF101,Mathematics and statistics,Exclusion(s),,mathematics and statistics associated with physical sciences (See RDF103 Physical sciences),
2,RDF101,Mathematics and statistics,Exclusion(s),,quantitative methods in forestry (See RDF4010414 Quantitative methods in forestry),
