Level,Code,Class title,Element Type Label English,Element Description English
1,RDS101,Exploration and exploitation of the earth,Exclusion(s),conservation of energy and efficient energy use  (See RDS10506 Energy conservation and efficiency)
1,RDS101,Exploration and exploitation of the earth,Exclusion(s),control and treatment of human diseases within the country's borders  (See RDS107 Health)
1,RDS101,Exploration and exploitation of the earth,Exclusion(s),environmental ethics  (See RDS11007 Heritage (including Indigenous culture))
1,RDS101,Exploration and exploitation of the earth,Exclusion(s),farming and production aspects of animals and primary animal product  (See RDS108 Agriculture (including fisheries and forestry))
1,RDS101,Exploration and exploitation of the earth,Exclusion(s),"production aspects of agricultural crops, plants and primary plant products  (See RDS108 Agriculture (including fisheries and forestry))"
1,RDS101,Exploration and exploitation of the earth,Exclusion(s),"rural, regional and urban construction planning issues, including environmental impact studies of new developments  (See RDS10401 Construction planning)"
2,RDS10101,Mineral exploration,Illustrative example(s),base metal ore exploration 
2,RDS10101,Mineral exploration,Illustrative example(s),diamond exploration 
2,RDS10101,Mineral exploration,Illustrative example(s),iron ore exploration 
2,RDS10101,Mineral exploration,Illustrative example(s),potash ore exploration 
2,RDS10101,Mineral exploration,Illustrative example(s),precious (noble) metal ore exploration 
2,RDS10101,Mineral exploration,Illustrative example(s),rare earth metal ore exploration 
2,RDS10101,Mineral exploration,All examples,base metal ore exploration 
2,RDS10101,Mineral exploration,All examples,diamond exploration 
2,RDS10101,Mineral exploration,All examples,iron ore exploration 
2,RDS10101,Mineral exploration,All examples,potash ore exploration 
2,RDS10101,Mineral exploration,All examples,precious (noble) metal ore exploration 
2,RDS10101,Mineral exploration,All examples,rare earth metal ore exploration 
2,RDS10101,Mineral exploration,Exclusion(s),exploration for energy mineral resources  (See RDS10102 Energy resources exploration)
2,RDS10101,Mineral exploration,Exclusion(s),scientific activities related to fighting pollution and other environment protection activities  (See RDS102 Environmental protection)
2,RDS10102,Energy resources exploration,Illustrative example(s),coal exploration 
2,RDS10102,Energy resources exploration,Illustrative example(s),geothermal exploration 
2,RDS10102,Energy resources exploration,Illustrative example(s),oil and gas exploration 
2,RDS10102,Energy resources exploration,Illustrative example(s),oil shale and tar sands exploration 
2,RDS10102,Energy resources exploration,Illustrative example(s),uranium exploration 
2,RDS10102,Energy resources exploration,All examples,coal exploration 
2,RDS10102,Energy resources exploration,All examples,geothermal exploration 
2,RDS10102,Energy resources exploration,All examples,oil and gas exploration 
2,RDS10102,Energy resources exploration,All examples,oil shale and tar sands exploration 
2,RDS10102,Energy resources exploration,All examples,uranium exploration 
2,RDS10102,Energy resources exploration,Exclusion(s),exploration for non-energy mineral resources  (See RDS10101 Mineral exploration)
2,RDS10102,Energy resources exploration,Exclusion(s),mining and extraction of energy resources  (See RDS10501 Mining and extraction of energy resources)
2,RDS10102,Energy resources exploration,Exclusion(s),scientific activities related to fighting pollution and other environment protection activities  (See RDS102 Environmental protection)
2,RDS10103,Atmosphere and weather,Illustrative example(s),atmospheric composition (including greenhouse gas inventory) 
2,RDS10103,Atmosphere and weather,Illustrative example(s),atmospheric processes and dynamics 
2,RDS10103,Atmosphere and weather,Illustrative example(s),weather conditions 
2,RDS10103,Atmosphere and weather,All examples,atmospheric composition (including greenhouse gas inventory) 
2,RDS10103,Atmosphere and weather,All examples,atmospheric processes and dynamics 
2,RDS10103,Atmosphere and weather,All examples,weather conditions 
2,RDS10103,Atmosphere and weather,Exclusion(s),"climate, climate change and the effects of climate change on ecosystems and societies  (See RDS10104 Climate and climate change)"
2,RDS10104,Climate and climate change,Illustrative example(s),climate change adaptation measures 
2,RDS10104,Climate and climate change,Illustrative example(s),climate change mitigation strategies 
2,RDS10104,Climate and climate change,Illustrative example(s),climate change models 
2,RDS10104,Climate and climate change,Illustrative example(s),climate variability (except social impacts) 
2,RDS10104,Climate and climate change,Illustrative example(s),ecosystem adaptation to climate change 
2,RDS10104,Climate and climate change,Illustrative example(s),effects of climate change and variability on north america (except social impacts) 
2,RDS10104,Climate and climate change,Illustrative example(s),effects of climate change and variability on the arctic (except social impacts) 
2,RDS10104,Climate and climate change,Illustrative example(s),social impacts of climate change and variability 
2,RDS10104,Climate and climate change,All examples,climate change adaptation measures 
2,RDS10104,Climate and climate change,All examples,climate change mitigation strategies 
2,RDS10104,Climate and climate change,All examples,climate change models 
2,RDS10104,Climate and climate change,All examples,climate variability (except social impacts) 
2,RDS10104,Climate and climate change,All examples,ecosystem adaptation to climate change 
2,RDS10104,Climate and climate change,All examples,effects of climate change and variability on north america (except social impacts) 
2,RDS10104,Climate and climate change,All examples,effects of climate change and variability on the arctic (except social impacts) 
2,RDS10104,Climate and climate change,All examples,social impacts of climate change and variability 
2,RDS10104,Climate and climate change,Exclusion(s),"atmosphere and weather, including atmospheric composition  (See RDS10103 Atmosphere and weather)"
2,RDS10104,Climate and climate change,Exclusion(s),"non-climate related oceanic processes  (See RDS10199 Exploration and exploitation of the earth, n.e.c.)"
2,RDS10105,Water and hydrology,Illustrative example(s),arctic oceanography 
2,RDS10105,Water and hydrology,Illustrative example(s),marine oceanic processes (except climate related) 
2,RDS10105,Water and hydrology,Illustrative example(s),physical and chemical conditions of water for urban and industrial use 
2,RDS10105,Water and hydrology,Illustrative example(s),physical and chemical conditions of water in coastal and estuarine environments 
2,RDS10105,Water and hydrology,Illustrative example(s),"physical and chemical conditions of water in fresh, ground and surface water environments (except urban and industrial use) "
2,RDS10105,Water and hydrology,Illustrative example(s),physical and chemical conditions of water in marine environments 
2,RDS10105,Water and hydrology,All examples,arctic oceanography 
2,RDS10105,Water and hydrology,All examples,marine oceanic processes (except climate related) 
